Test Case ID,Module Name,Title,Description/User Story,Preconditions,#,Steps,Expected Results,Test Data,Defect/Remarks,ReqID,Status,Automation,Test Type,Type of Test Case,Priority,State
RFMSS-212,,Verify Functional Administrator Can Create an Announcement,,FA is logged into RFMSS,,1. Open the RFMSS website and login with an FA credentials.,"1. Observe the following Menu options are available:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library",,,6.4 Announcements,,,,,,
,,,,,,2. Navigate to Administration : Announcements.,2. The Administration : Announcements table grid page is displayed.,,,,,,,,,
,,,,,,3. Select the 'new' link under the Action column.,"3. The Administration : Announcements : Announcement page is displayed with the following fields:
* Send an email with the announcement [checkbox]
*Send a mass email only. (No announcement will be posted on RFMSS front page). [checkbox]
* Title/Subject
* Start Date (required)
* Expiration Date
* Dashboard Message Text (required)
* Roles to Recieve Message (required)
* [SAVE]
* [CANCEL]",,,,,,,,,
,,,,,,"4. Enter announcement details for the following fields:
* Title/Subject = NEW ANNOUNCEMENT
* Start Date (required) = TODAY's DATE
* Expiration Date: 2 days from today
* Dashboard Message Text (required) = NEW ANNOUCEMENT FOR TODAY
* Roles to Recieve Message (required) = SELECT ALL CHECKBOXES",4. The system allows changes to all editable fields.,"* Title/Subject = NEW ANNOUNCEMENT
* Start Date (required) = TODAY's DATE
* Expiration Date: 7 days from today
* Dashboard Message Text (required) = NEW ANNOUCEMENT FOR TODAY
* Roles to Recieve Message (required) = SELECT ALL CHECKBOXES",,,,,,,,
,,,,,,5. Select the [SAVE] button.,5. The Administration : Announcements table grid page is displayed.,,,,,,,,,
,,,,,,6. Select the [Home] navigation button.,6. Verify that 'NEW ANNOUCEMENT' is displayed at the top of the Home page.,,,,,,,,,
,,,,,,"7. Select the Logout link.

","7. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely clears your login information.""
[Login Again] link.",,,,,,,,,
RFMSS-219,,Verify Functional Administrator Can Send a Mass Email with Announcement,,FA is logged into RFMSS and Announcement record is available for edit.,,1. Open the RFMSS website and login with an FA credentials.,"1. Observe the following Menu options are available:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library",,,6.4 Announcements,,,,,,
,,,,,,2. Navigate to Administration : Announcements.,2. The Administration : Announcements table grid page is displayed.,,,,,,,,,
,,,,,,". Select the 'edit' link under the Action column next to the ""NEW ANNOUCEMENT"" title.",". The Administration : Announcements : Announcement page is displayed with the following fields:
* Send an email with the announcement [checkbox]
*Send a mass email only. (No announcement will be posted on RFMSS front page). [checkbox]
* Title/Subject
* Start Date (required)
* Expiration Date
* Dashboard Message Text (required)
* Roles to Recieve Message (required)
* [SAVE]
* [CANCEL]",,,,,,,,,
