Test Case ID,Module Name,Title,Description/User Story,Preconditions,#,Steps,Expected Result,Test Data,Defects/Remarks,ReqID,Status,Automation,Test Type,Type of Test Case,Priority,State
TC-692,Airspace Subdivision To Airspace Subdivisions/Facilities,Airspace Subdivision To Airspace Subdivisions/Facilities - Modify all editable fields.,"Verify that a Functional Administrator can successfully edit all
modifiable fields of an existing Airspace Subdivision. This test case
ensures the core editing functionality is working as expected for all
editable attributes.

","1. The Functional Administrator is logged into the Airspace Subdivision
to Airspace Subdivisions/Facilities module.2. An existing Airspace
Subdivision record(s) are available.3. The Functional Administrator has
the necessary permissions to edit.

",,"1. Navigate to the Administration/Airspace/Airspace Subdivision.

","1. The Administration : Airspace : Airspace Subdivision To Airspace
Subdivisions/Facilities Below page is displayed.

",,,,,Not Automated,,Functional,Critical,Active
,,,,,,2. Select the existing Airspace Subdivision record and click on the 'Edit' link under the Action column.,"2. The Administration : Airspace : Airspace Subdivision To Airspace
Subdivisions/Facilities Below page is displayed.

",,,,,,,,,
,,,,,,"3. Modify the following fields:
* AIrspace Subdivision Above - required
* Airspace Subdivision/Facility Below- required

","3. The system allows changes to all editable fields.

",,,,,,,,,
,,,,,,"4. Save the modified data. Click the SAVE button.

","4. The system returns a successful message: The Airspace Subdivision was
saved successfully.

",,,,,,,,,
,,,,,,"5. Select the PRINT icon located on the top of the grid.

","5. Validate the ""AirSubFacGridViewGridView.pdf"" file is downloaded.

",,,,,,,,,
,,,,,,"6. Open the ""AirSubFacGridViewGridView.pdf"" to view the details.

","6. The file opens. Validate that the information and format are correct.



",AirSubFacGridViewGridView.pdf,,,,,,,,
,,,,,,"7. Select the X on the ""AirSubFacGridViewGridView.pdf"" file.

","7. The ""AirSubFacGridViewGridView.pdf"" is closed.

",AirSubFacGridViewGridView.pdf,,,,,,,,
,,,,,,"8. Repeat steps 6 to 7 for the PDF, Excel and Word exports.

","8. Validate the downloaded file and close the downloaded file.

",,,,,,,,,
TC-693,Airspace Subdivision To Airspace Subdivisions/Facilities,Airspace Subdivision To Airspace Subdivisions/Facilities - Create new Airspace Subdivision with valid data.,"Verify that a Functional Administrator can successfully create an
Airpace Subdivision to Airspace Subdivisions/Facilities by providing all
required valid data. This test case ensures the core functionality of
maintaining Airspace is working as expected.

","1. The Functional Administrator is logged into the FAA Airspace
system.2. The system is operational and accessible.3. The Functional
Administrator has the necessary permissions to create and schedule air
facility requests.4. The database for storing air facility requests is
available and functioning.5. All required fields for creating an air
facility request are known and ready to be filled.

",,"1. Navigate to the Administration/Airspace/Airspace Subdivisions/Facilities
Below.

","1. The Airpace Subdivision to Airspace Subdivisions/Facilities Below page
is displayed.

",,,,,Not Automated,,Functional,Critical,Active
,,,,,,2. Click on the 'New' link under the Action column.,"2. The Administration : Airspace : Airspace Subdivision To Airspace
Subdivisions/Facilities Below : Airspace Subdivision To Airspace
Subdivisions/Facilities Below

page is displayed.

",,,,,,,,,
,,,,,,"3. a. Select a valid data from the AIrspace Subdivision Above via the
    magnifying icon. b. Select R-3803A

","3. Airspace Subdivisions/Facilities Below displays the available Airspace
Subdivision/Facility.

",,,,,,,,,
,,,,,,"4. Select the checkboxes for:
AFGHAN VILLAGE
BIG CREEK 1

","4. The checkboxes are selected for:
* AFGHAN VILLAGE
* BIG CREEK 1

","AFGHAN VILLAGE
BIG CREEK 1",,,,,,,,
,,,,,,"5. Click the SAVE button.

","5.  The Administration : Airspace : Airspace Subdivision To Airspace
    Subdivisions/Facilities Below : Airspace Subdivision To Airspace
    Subdivisions/Facilities Below page is displayed. Validate R-3803A is associated with BIG CREEK 1 and AFGHAN VILLAGE.

","R-3803A 
AFGHAN VILLAGE
BIG CREEK 1",,,,,,,,
,,,,,,"6. Select the PRINT icon located on the top of the grid. Open the AirSubFacGridViewGridView.pdf to view its details.

","6. Validate that the ""AirSubFacGridViewGridView.pdf"" file is
    downloaded. The file opens. Validate that the information and format are
    correct.

",AirSubFacGridViewGridView.pdf,,,,,,,,
,,,,,,"7. a. Select the EXCEL icon located at the top of the grid. b.  Select the ""Export.xlsx"" file to view its details. c. Close the ""Export.xlsx"" file.

","7. a.  Validate that an ""Export.xlsx"" file has been downloaded. b.  The Excel file opens. Validate that the information and format are
    correct. c.  The EXCEL file is closed.

",Export.xlsx,,,,,,,,
,,,,,,"8. a.  Select the WORD icon located at the top of the grid. b.  Select the ""AirSubFacGridViewGridView.docx"" file to view details. c.  Close the ""AirSubFacGridViewGridView.docx"" file.

","8. a.  Validate that the ""AirSubFacGridViewGridView.docx"" file has been downloaded. b.  The WORD file opens. Validate that the information and format are correct. c.  The WORD file is closed.

",AirSubFacGridViewGridView.docx,,,,,,,,
