Test Case ID,Module Name,Title,Description/User Story,Preconditions,#,Steps,Expected Result,Test Data,Defect/Remarks,ReqID,Status,Automation,Test Type,Type of Test Case,Priority,State
TC-710,Events,FA Event - create NEW AIR and GROUND Events.,"Ensure that new event entries can be successfully created in the equipment events module.

","1.  User must have the necessary permissions to create new events.
2.  Required fields needed for creating a new event must be clearly
    defined and available in the system.

",,"1. Open the RFMSS website and login with an FA credentials.

","1. Observe the following Menu options are available:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library

",,,,,Not Automated,Manual,Functional,Critical,Active
,,,,,,"2. Navigate to Administration : Event: Events

","2. The Administration : Event : Events table grid page is displayed.

",,,,,,,,,
,,,,,,"3. Select the 'new' link under the Action column.

","3. The Administration : Event : Events : Event page is displayed with the
following fields:
* Event Name (required)
* Event Type (required)
* Category [search icon] (required)
* Airspace Activity Type (required for Air events only)
* Do Not Deprecate [checkbox]
* Deprecation Date
* Description
* Loud Noise radio buttons (Always, Limited, N/A)
* [SAVE]
*[CANCEL]

",,,,,,,,,
,,,,,,"4. Enter data for an AIR event in the following fields:
* Event Name (required) = TST AIR EVENT
* Event Type (required) = AIR
* Category [search icon] = FIRE
* Airspace Activity Type (required for Air events only) = AIR GUNNERY
* Loud Noise radio buttons (Always, Limited, N/A) = ALWAYS
* Do Not Deprecate [checkbox] = CHECKED
* Deprecation Date
* Description = TESTING EVENT FOR AIR
","4. The system allows changes to all editable fields.

",,,,,,,,,
,,,,,,"5. Save the modified data. Click the [SAVE] button.

","5. The Administration : Event : Events table grid page is displayed, and
the TST AIR EVENT row is 'orange'.

",,,,,,,,,
,,,,,,"6. Select the 'new' link under the Action column.

","6. The Administration : Event : Events : Event page is displayed with the
following fields:
* Event Name (required)
* Event Type (required)
* Category [search icon]
* Airspace Activity Type (required for Air events only)
* Loud Noise radio buttons (Always, Limited, N/A)
* Do Not Deprecate [checkbox]
* Deprecation Date
* Description
* [SAVE]
* [CANCEL]",,,,,,,,,
,,,,,,"7. Enter data to the following fields:
* Event Name (required) = TST GROUND EVENT
* Event Type (required) = GROUND
* Category [search icon] = MAINT
* Loud Noise radio buttons (Always, Limited, N/A) = LIMITED
* Do Not Deprecate [checkbox] = CHECKED
* Deprecation Date
* Description = GROUND MAINTENANCE","7. The system allows changes to all editable fields.

",,,,,,,,,
,,,,,,"8. Save the modified data. Click the [SAVE] button.

","8. The Administration : Event : Events table grid page is displayed, and
the TST GROUND EVENT row is 'yellow'.

",,,,,,,,,
,,,,,,"9. Select the Logout link.

","9. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information.""
[Login Again] link.",,,,,,,,,
TC-713,Events,FA Event - EDIT existing AIR and GROUND Events.,"Ensure that edited event entries can be successfully created in the
equipment events module.

","1.  User must have the necessary permissions to edit events in the FA
    Event module.
2.  The system must have an active, functioning interface for editing
    existing events.
3.  Required fields needed for creating a new vehicle must be clearly
    defined and available in the system.

",,"1. Open the RFMSS website and login with an FA credentials.

","1. Observe the following Menu options are available:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library

",,,,,Not Automated,,Functional,Critical,Active
